61706749;Katherine;Fisher;williamsullivan@buffalo.edu;4759382421948;Mechanical
90785928;Rachel;Collins;rachel57@buffalo.edu;5659387784080;Biomedical
63529189;Jennifer;Glover;cheryl53@buffalo.edu;1393328711587;Biomedical
83989837;Kelly;Martinez;sandraharris@buffalo.edu;8947196593423;Industrial
14425482;Chloe;Douglas;christophertodd@buffalo.edu;0186848339694;Computer Science
98616634;Danielle;Graves;qhoward@buffalo.edu;9533041352560;Biomedical
29643903;Melissa;Robinson;wwalters@buffalo.edu;1013991615109;Biomedical
34826513;Jennifer;Mendoza;bruce08@buffalo.edu;1413145620870;Electrical
62516202;James;Howard;mary92@buffalo.edu;3022584197207;Electrical
86385018;Nancy;Lowery;paul42@buffalo.edu;0715084237594;Electrical
89225729;Stacey;Schultz;jennifer66@buffalo.edu;1093523376960;Civil
86164848;Robert;Bates;griffinjonathon@buffalo.edu;8789007547063;Computer Science
94971734;Tiffany;Monroe;smithstefanie@buffalo.edu;0300891319344;Electrical
34457308;Craig;Nash;christopherhill@buffalo.edu;1428512400034;Computer Science
59243651;Sheena;Browning;curryjacqueline@buffalo.edu;7658236940224;Civil
59284947;Jennifer;Morgan;blake22@buffalo.edu;4568241730428;Industrial
50623768;Richard;Murphy;corykerr@buffalo.edu;5171760452296;Industrial
95748823;Christopher;Morton;walkerpaul@buffalo.edu;8847793615349;Industrial
67877506;James;Wilson;bfarrell@buffalo.edu;3176430392137;Civil
83335393;Margaret;Garcia;tony96@buffalo.edu;6875773893055;Industrial
14760469;Alicia;Baxter;eric69@buffalo.edu;7118013204075;Mechanical
29974213;Misty;Murray;patrickmoreno@buffalo.edu;1891634896769;Electrical
12749018;Diane;Smith;hunterjonathan@buffalo.edu;4466602234500;Computer Science
28911932;Travis;Boyer;emily25@buffalo.edu;9767017200992;Electrical
24132163;Isabel;Banks;logankimberly@buffalo.edu;0979519426418;Mechanical
35384259;Benjamin;Myers;jameskelly@buffalo.edu;0074089933188;Civil
50978227;Sonia;Thomas;ehenderson@buffalo.edu;1162076607541;Civil
26291079;Michael;Johnson;alejandromccann@buffalo.edu;1923031045093;Mechanical
35097601;Shawn;Woods;jonathan03@buffalo.edu;7448529118942;Civil
29720188;Sonya;Brock;johnfischer@buffalo.edu;6029061126486;Industrial
29096964;Brittany;Evans;johnchen@buffalo.edu;8066065735471;Mechanical
24578094;Joshua;Grant;laura76@buffalo.edu;6623758257173;Civil
70275621;Christine;Smith;kaylafuller@buffalo.edu;2671738640140;Biomedical
63476182;Alicia;Perkins;curtisking@buffalo.edu;3910144851832;Biomedical
48881795;Justin;Taylor;jason16@buffalo.edu;8644759221166;Electrical
28727815;Anita;Evans;julia37@buffalo.edu;8570742709305;Computer Science
11356953;Meghan;Werner;christopher60@buffalo.edu;1904432943167;Industrial
61557076;Gary;Fisher;xgraham@buffalo.edu;8523275667633;Computer Science
37416482;Brenda;Williams;jimmiller@buffalo.edu;0239491845670;Electrical
79273030;Elizabeth;Wong;jessica69@buffalo.edu;4735400025040;Biomedical
67410904;Erin;Arellano;sandrachavez@buffalo.edu;1915587540803;Civil
38130871;Molly;Reed;lking@buffalo.edu;8647530481077;Industrial
16371118;Sally;Jenkins;scottmiller@buffalo.edu;2637916860237;Chemical
47446211;Sarah;Flores;angelamitchell@buffalo.edu;3478978443019;Industrial
23274236;Gerald;Perry;hobbswendy@buffalo.edu;8860164195384;Chemical
42230520;Calvin;Parker;nathanielcastillo@buffalo.edu;2088559026228;Mechanical
28197343;Kathy;Harrington;khudson@buffalo.edu;2365992719089;Civil
71149986;Kyle;Benjamin;frank77@buffalo.edu;1429635460305;Industrial
43501948;Matthew;Alexander;diane45@buffalo.edu;4059802507003;Biomedical
40303084;Sonia;Murphy;icooper@buffalo.edu;3762542566064;Computer Science
72095809;Katherine;Cunningham;finleygeorge@buffalo.edu;9821532302821;Civil
90245880;Dale;Fuller;christina04@buffalo.edu;6007154273852;Industrial
64319439;Matthew;Pratt;bsmith@buffalo.edu;7089840761657;Biomedical
46648109;Jody;Johnson;brandi43@buffalo.edu;8564319539852;Mechanical
30542801;Mark;Burgess;velasquezannette@buffalo.edu;5445769620290;Computer Science
55814705;Sarah;Fry;staceycardenas@buffalo.edu;9318642821291;Mechanical
94842939;Laura;Jacobs;obaker@buffalo.edu;4488855362082;Industrial
85602853;Patrick;Marshall;gainesdana@buffalo.edu;3058235703934;Chemical
66369024;Christian;West;shannon81@buffalo.edu;2716644659514;Biomedical
11472300;Kathryn;Harris;ryanreid@buffalo.edu;0975929450678;Biomedical
20936333;Ashlee;Reed;leedaniel@buffalo.edu;0505624629264;Computer Science
31865651;David;Anderson;dawngallagher@buffalo.edu;8086259118243;Industrial
54015114;Isabella;King;selenalutz@buffalo.edu;7820928051379;Chemical
71561696;Alexa;Mckinney;otaylor@buffalo.edu;1850116959756;Computer Science
95438760;David;Stewart;grossandrew@buffalo.edu;3060460925160;Computer Science
91086543;Rachel;Avila;anna76@buffalo.edu;7436151105026;Electrical
97702474;Penny;Morris;kreese@buffalo.edu;0864081155170;Chemical
79336496;Connie;Mitchell;bennetteric@buffalo.edu;2222395076033;Electrical
54099796;George;Allen;johnssteven@buffalo.edu;2690290622005;Computer Science
15124704;Brandon;Frost;dylan26@buffalo.edu;6695325838612;Civil
98406728;Michael;Davis;tsanchez@buffalo.edu;3769144858099;Industrial
41811898;Joshua;Carr;gmyers@buffalo.edu;0260666179722;Civil
65176393;Erik;Sellers;fgill@buffalo.edu;2578034295460;Civil
67876477;Austin;Jenkins;jaredanderson@buffalo.edu;5206967116882;Chemical
37845333;Frank;Johnson;snyderrachel@buffalo.edu;4516425858268;Civil
60810347;Michael;Fry;tami61@buffalo.edu;2209981399814;Electrical
92450637;Gary;Miller;wilsonmichael@buffalo.edu;5175947328818;Mechanical
32548763;Anthony;Day;chaneyrobert@buffalo.edu;7640926279061;Electrical
64383448;Matthew;Hunter;timothygarcia@buffalo.edu;7867423852492;Computer Science
19192829;Timothy;Knight;christopherolson@buffalo.edu;4251202983006;Computer Science
